Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,5NMSGDAB5AH372379,PAS,ALEXANDRIA BAY ,NY,13607,JEFFERSON   ,2010,HYUND,SUBN,GAS     ,3875,,,06/26/2017,07/06/2019,WH   ,N,N,N
VEH ,JA4AD3A37HZ020198,PAS,NEW YORK       ,NY,10033,NEW YORK    ,2017,MITSU,SUBN,GAS     ,3289,,,07/23/2018,04/17/2019,GY   ,N,N,N
VEH ,9999236          ,HIS,ROSLYN         ,NY,11576,NASSAU      ,1937,CHRY ,4DSD,GAS     ,6300,,,05/10/2018,06/23/2019,BK   ,N,N,N
VEH ,JNKBF01A63M101862,PAS,BROOKLYN       ,NY,11207,KINGS       ,2003,INFIN,4DSD,GAS     ,3858,,,09/21/2018,09/20/2020,TN   ,N,N,N
VEH ,5NPD84LF1HH090193,PAS,VALLEY STREAM  ,NY,11580,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,07/25/2017,09/05/2019,WH   ,N,N,N
VEH ,JNKBF01A62M008211,PAS,BROOKLYN       ,NY,11219,KINGS       ,2002,INFIN,4DSD,GAS     ,3801,,,10/19/2018,10/18/2020,GR   ,N,N,N
VEH ,5NPD84LF1HH090100,PAS,COTTEKILL      ,NY,12419,ULSTER      ,2017,HYUND,4DSD,GAS     ,2976,,,04/13/2017,05/22/2019,GY   ,N,N,N
VEH ,JNKBF01A62M008208,PAS,AUBURN         ,NY,13021,CAYUGA      ,2002,INFIN,4DSD,GAS     ,3665,,,12/07/2018,11/30/2020,BK   ,N,N,N
VEH ,5NPD84LF1HH089223,PAS,QUEENS VILLAGE ,NY,11428,QUEENS      ,2017,HYUND,4DSD,GAS     ,2976,,,08/01/2018,09/09/2020,RD   ,N,N,N
VEH ,JNKBF01A62M003963,PAS,FREEPORT       ,NY,11520,NASSAU      ,2002,INFIN,4DSD,GAS     ,3254,,,05/10/2017,05/30/2019,GY   ,N,N,N
VEH ,5NPD84LF1HH089156,PAS,AVERILL PARK   ,NY,12018,RENSSELAER  ,2017,HYUND,4DSD,GAS     ,2976,,,06/25/2018,08/11/2020,GY   ,N,N,N
VEH ,JNKBF01A62M002943,PAS,LAWRENCE       ,NY,11559,NASSAU      ,2002,INFIN,4DSD,GAS     ,3665,,,07/10/2018,06/17/2020,WH   ,N,N,N
VEH ,5NPD84LF1HH088881,PAS,HUNTINGTON     ,NY,11743,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,12/08/2018,12/03/2020,GY   ,N,N,N
VEH ,JNKBF01A62M002750,PAS,BROOKLYN       ,NY,11210,KINGS       ,2002,INFIN,4DSD,GAS     ,3888,,,04/18/2017,05/23/2019,BL   ,N,N,N
VEH ,5NPD84LF1HH088721,PAS,E SYRACUSE     ,NY,13057,ONONDAGA    ,2017,HYUND,4DSD,GAS     ,2976,,,01/23/2017,02/22/2019,TN   ,N,N,N
VEH ,JNKBF01A62M002070,PAS,MERRICK        ,NY,11566,NASSAU      ,2002,INFIN,4DSD,GAS     ,3665,,,09/24/2017,10/01/2019,GY   ,N,N,N
VEH ,5NPD84LF1HH088590,PAS,HOLBROOK       ,NY,11741,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,10/22/2017,10/05/2019,GY   ,N,N,N
VEH ,JNKBF01A62M001646,PAS,BRONX          ,NY,10472,BRONX       ,2002,INFIN,4DSD,GAS     ,3665,,,10/04/2018,11/10/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH088508,PAS,WANTAGH        ,NY,11793,NASSAU      ,2017,HYUND,4DSD,GAS     ,2976,,,03/02/2017,03/09/2019,WH   ,N,N,N
VEH ,JNKBF01A62M001632,PAS,FREEPORT       ,NY,11520,NASSAU      ,2002,INFIN,4DSD,GAS     ,3665,,,11/22/2017,12/08/2019,GY   ,N,N,N
VEH ,5NPD84LF1HH088119,PAS,MONSEY         ,NY,10952,ROCKLAND    ,2017,HYUND,4DSD,GAS     ,2976,,,07/23/2018,08/14/2020,TN   ,N,N,N
VEH ,JNKBF01A62M000349,PAS,WILLIAMSVILLE  ,NY,14221,ERIE        ,2002,INFIN,4DSD,GAS     ,3665,,,11/02/2018,08/29/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH087908,PAS,LOCKPORT       ,NY,14094,NIAGARA     ,2017,HYUND,4DSD,GAS     ,2976,,,06/25/2018,06/24/2020,BK   ,N,N,N
